Exchange Date,Close,Net,Returns,Log_Returns
9/16/2020,1124.1,,,
9/17/2020,1114.58,-9.52,-0.008468997,-0.008505063
9/18/2020,1113.8,-0.78,-0.000699815,-0.00070006
9/21/2020,1093.33,-20.47,-0.018378524,-0.018549507
9/22/2020,1088.58,-4.75,-0.004344525,-0.00435399
9/23/2020,1081.49,-7.09,-0.006513072,-0.006534375
9/24/2020,1062.95,-18.54,-0.017143016,-0.017291658
9/25/2020,1063.66,0.71,0.000667952,0.000667729
9/28/2020,1074.52,10.86,0.01021003,0.010158259
9/29/2020,1072.1,-2.42,-0.002252168,-0.002254708
9/30/2020,1086.94,14.84,0.013841992,0.013747067
10/1/2020,1089.8,2.86,0.00263124,0.002627784
10/2/2020,1087.08,-2.72,-0.002495871,-0.002498991
10/5/2020,1095.89,8.81,0.008104279,0.008071616
10/6/2020,1107.71,11.82,0.010785754,0.010728003
10/7/2020,1112.45,4.74,0.004279098,0.004269969
10/8/2020,1123.55,11.1,0.009977977,0.009928525
10/9/2020,1128.19,4.64,0.004129767,0.004121263
10/12/2020,1143.74,15.55,0.013783139,0.013689016
10/13/2020,1142.42,-1.32,-0.001154108,-0.001154775
10/14/2020,1144.04,1.62,0.001418042,0.001417038
10/15/2020,1127.51,-16.53,-0.014448795,-0.014554196
10/16/2020,1133.97,6.46,0.005729439,0.005713088
10/19/2020,1138.04,4.07,0.00358916,0.003582735
10/20/2020,1143.95,5.91,0.005193139,0.005179701
10/21/2020,1147.65,3.7,0.003234407,0.003229188
10/22/2020,1147.36,-0.29,-0.00025269,-0.000252722
10/23/2020,1148.2,0.84,0.000732115,0.000731848
10/26/2020,1141.82,-6.38,-0.005556523,-0.005572018
10/27/2020,1146.12,4.3,0.003765918,0.003758844
10/28/2020,1131.99,-14.13,-0.012328552,-0.012405179
10/29/2020,1131.39,-0.6,-0.00053004,-0.000530181
10/30/2020,1117.03,-14.36,-0.012692352,-0.012773588
11/2/2020,1128.16,11.13,0.009963922,0.00991461
11/3/2020,1131.78,3.62,0.003208765,0.003203628
11/4/2020,1145.45,13.67,0.012078319,0.012005958
11/5/2020,1177.03,31.58,0.027569951,0.027196744
11/6/2020,1186.71,9.68,0.008224089,0.008190456
11/9/2020,1204.44,17.73,0.014940466,0.014829956
11/10/2020,1191.62,-12.82,-0.010643951,-0.010701003
11/11/2020,1184.87,-6.75,-0.005664557,-0.005680662
11/12/2020,1190.77,5.9,0.004979449,0.004967093
11/13/2020,1196.27,5.5,0.00461886,0.004608226
11/16/2020,1208.39,12.12,0.010131492,0.010080513
11/17/2020,1207.4,-0.99,-0.000819272,-0.000819608
11/18/2020,1215.74,8.34,0.006907404,0.006883658
11/19/2020,1207.46,-8.28,-0.006810667,-0.006833965
11/20/2020,1216.99,9.53,0.007892601,0.007861617
11/23/2020,1225.24,8.25,0.00677902,0.006756146
11/24/2020,1229.79,4.55,0.003713558,0.00370668
11/25/2020,1222.4,-7.39,-0.006009156,-0.006027284
11/26/2020,1233.73,11.33,0.009268652,0.009225961
11/27/2020,1233.43,-0.3,-0.000243165,-0.000243195
11/30/2020,1205.39,-28.04,-0.022733353,-0.02299574
12/1/2020,1227.3,21.91,0.01817669,0.018013469
12/2/2020,1228.8,1.5,0.001222195,0.001221449
12/3/2020,1239.31,10.51,0.00855306,0.00851669
12/4/2020,1246.68,7.37,0.005946858,0.005929245
12/7/2020,1247.74,1.06,0.000850258,0.000849897
12/8/2020,1251.85,4.11,0.003293955,0.003288542
12/9/2020,1250.17,-1.68,-0.001342014,-0.001342915
12/10/2020,1249.38,-0.79,-0.000631914,-0.000632114
12/11/2020,1253.02,3.64,0.002913445,0.002909209
12/14/2020,1243.26,-9.76,-0.007789181,-0.007819675
12/15/2020,1242.42,-0.84,-0.000675643,-0.000675871
12/16/2020,1257.27,14.85,0.01195248,0.011881613
12/17/2020,1268.09,10.82,0.008605948,0.008569128
12/18/2020,1263.83,-4.26,-0.003359383,-0.003365038
12/21/2020,1249.42,-14.41,-0.01140185,-0.011467349
12/22/2020,1243.96,-5.46,-0.004370028,-0.004379604
12/23/2020,1250.25,6.29,0.005056433,0.005043692
12/24/2020,1239.17,-11.08,-0.008862228,-0.008901731
12/25/2020,1240.38,1.21,0.00097646,0.000975984
12/28/2020,1235.65,-4.73,-0.003813348,-0.003820637
12/29/2020,1250.48,14.83,0.01200178,0.01193033
12/30/2020,1270.75,20.27,0.016209775,0.0160798
12/31/2020,1272.72,1.97,0.001550266,0.001549065
1/1/2021,1243.26,9.6,0.0075429,-0.02341938
1/2/2021,1246.68,8.57,0.006893168,0.002747056
1/3/2021,1428.8,8.34,0.006689768,0.136350913
1/4/2021,1281.32,8.6,0.006019037,-0.108944135
1/5/2021,1293.05,11.73,0.009154622,0.009112972
1/6/2021,1292.32,-0.73,-0.000564557,-0.000564716
1/7/2021,1294.31,1.99,0.001539866,0.001538682
1/8/2021,1319.23,24.92,0.019253502,0.019070498
1/11/2021,1317.37,-1.86,-0.001409913,-0.001410908
